date,state,fips,cases,deaths,population,cases per 100K
2020-10-06,Alabama,1,160477,2580,4903185.0,3273.0
2020-10-06,Alaska,2,9656,54,731545.0,1320.0
2020-10-06,Arizona,4,221937,5713,7278717.0,3049.0
2020-10-06,Arkansas,5,88071,1469,3017804.0,2918.0
2020-10-06,California,6,840322,16251,39512223.0,2127.0
2020-10-06,Colorado,8,74535,2094,5758736.0,1294.0
2020-10-06,Connecticut,9,59241,4521,3565287.0,1662.0
2020-10-06,Delaware,10,21466,646,973764.0,2204.0
2020-10-06,District of Columbia,11,15652,631,705749.0,2218.0
2020-10-06,Florida,12,720117,14766,21477737.0,3353.0
2020-10-06,Georgia,13,308493,7062,10617423.0,2906.0
2020-10-06,Hawaii,15,13090,159,1415872.0,925.0
2020-10-06,Idaho,16,45487,494,1787065.0,2545.0
2020-10-06,Illinois,17,308990,9100,12671821.0,2438.0
2020-10-06,Indiana,18,129281,3711,6732219.0,1920.0
2020-10-06,Iowa,19,93909,1414,3155070.0,2976.0
2020-10-06,Kansas,20,64021,706,2913314.0,2198.0
2020-10-06,Kentucky,21,77741,1255,4467673.0,1740.0
2020-10-06,Louisiana,22,170469,5592,4648794.0,3667.0
2020-10-06,Maine,23,5565,142,1344212.0,414.0
2020-10-06,Maryland,24,128691,3967,6045680.0,2129.0
2020-10-06,Massachusetts,25,135957,9538,6892503.0,1973.0
2020-10-06,Michigan,26,143901,7163,9986857.0,1441.0
2020-10-06,Minnesota,27,105793,2140,5639632.0,1876.0
2020-10-06,Mississippi,28,101678,3027,2976149.0,3416.0
2020-10-06,Missouri,29,139172,2258,6137428.0,2268.0
2020-10-06,Montana,30,15633,192,1068778.0,1463.0
2020-10-06,Nebraska,31,48757,511,1934408.0,2521.0
2020-10-06,Nevada,32,83036,1630,3080156.0,2696.0
2020-10-06,New Hampshire,33,8731,446,1359711.0,642.0
2020-10-06,New Jersey,34,211129,16147,8882190.0,2377.0
2020-10-06,New Mexico,35,30947,894,2096829.0,1476.0
2020-10-06,New York,36,471638,32836,19453561.0,2424.0
2020-10-06,North Carolina,37,221438,3691,10488084.0,2111.0
2020-10-06,North Dakota,38,24368,284,762062.0,3198.0
2020-10-06,Ohio,39,161299,4947,11689100.0,1380.0
2020-10-06,Oklahoma,40,93346,1066,3956971.0,2359.0
2020-10-06,Oregon,41,35347,581,4217737.0,838.0
2020-10-06,Pennsylvania,42,170255,8318,12801989.0,1330.0
2020-10-06,Puerto Rico,72,51737,696,3193694.0,1620.0
2020-10-06,Rhode Island,44,25596,1125,1059361.0,2416.0
2020-10-06,South Carolina,45,152970,3471,5148714.0,2971.0
2020-10-06,South Dakota,46,24876,248,884659.0,2812.0
2020-10-06,Tennessee,47,202257,2594,6829174.0,2962.0
2020-10-06,Texas,48,810689,16622,28995881.0,2796.0
2020-10-06,Utah,49,79449,489,3205958.0,2478.0
2020-10-06,Vermont,50,1821,58,623989.0,292.0
2020-10-06,Virginia,51,153182,3291,8535519.0,1795.0
2020-10-06,Washington,53,94694,2261,7614893.0,1244.0
2020-10-06,West Virginia,54,16936,364,1792147.0,945.0
2020-10-06,Wisconsin,55,143886,1410,5822434.0,2471.0
2020-10-06,Wyoming,56,6770,53,578759.0,1170.0
